id,dataset,graph,uuid,tier,strategy,in_queue,final_label,action,reason,revert_strategy,revert_to,release_position
cypherbench:57,cypherbench,nba,98412f9e-dbff-45fd-8025-71659fe7cdb0,algorithmic,partial,True,valid,keep:valid,valid,,,57
cypherbench:58,cypherbench,nba,fa814366-30bf-4c2c-9edb-2fc947a82ef9,llm,abbrev,True,valid,keep:valid,valid,,,58
cypherbench:59,cypherbench,nba,896b0995-efa7-4f6d-ac57-4993dac258a1,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,59
cypherbench:60,cypherbench,nba,958ba905-ee0c-4a0f-8a5a-250fab423c92,llm,alias,True,valid,keep:valid,valid,,,60
cypherbench:61,cypherbench,nba,3076cf23-5469-4453-b8a8-a3d09f6e255a,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,61
cypherbench:62,cypherbench,nba,a9d24b7a-4f99-40b2-ac81-b63b3fc01bab,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,62
cypherbench:63,cypherbench,nba,d70022fe-68d7-4f80-a2a6-8a821d06ee54,algorithmic,partial,True,valid,keep:valid,valid,,,63
cypherbench:64,cypherbench,nba,0480c6db-ae32-442b-97c8-9cd76c99b9fd,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,64
cypherbench:65,cypherbench,nba,88ab24c3-8798-49a0-90e6-7143a5cb7370,llm,abbrev,True,valid,keep:valid,valid,,,65
cypherbench:66,cypherbench,nba,2daca1ae-e59e-4241-8cf3-ba1cf07680aa,llm,abbrev,True,valid,keep:valid,valid,,,66
cypherbench:67,cypherbench,nba,6b6c8c33-0bd8-4ad9-bd64-03239ef2548d,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,67
cypherbench:68,cypherbench,nba,d4edad10-9ccb-49b2-a26d-e49e42452d1d,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,68
cypherbench:69,cypherbench,nba,b9fd3905-8968-45ee-a3c0-e0609e6a82d8,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,69
cypherbench:70,cypherbench,nba,64a7213d-069c-4ab2-98dd-a023d713a331,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,70
cypherbench:71,cypherbench,nba,899a8595-8d60-47d6-ab37-ae3bd7a60909,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,71
cypherbench:72,cypherbench,nba,bca2820b-7edb-4322-ba52-8bc894d4839e,llm,abbrev,True,valid,keep:valid,valid,,,72
cypherbench:73,cypherbench,nba,543ea313-3750-42a7-b6cd-415cfc19469b,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,73
cypherbench:74,cypherbench,nba,6cd21454-d5db-408f-9eb8-700c620efd7c,algorithmic,partial,True,valid,keep:valid,valid,,,74
cypherbench:75,cypherbench,nba,0486ad8d-495e-4116-b4b5-f0b38bf0914b,attested,alias,True,valid,keep:valid,valid,,,75
cypherbench:76,cypherbench,nba,6b3e04ef-80e2-43e7-b7ea-fdcc0aaf11c9,attested,alias,True,valid,keep:valid,valid,,,76
cypherbench:77,cypherbench,nba,a9ced4d1-6f09-42f3-beeb-1638eccea8d2,llm,partial,True,valid,keep:valid,valid,,,77
cypherbench:78,cypherbench,nba,9a4685c2-cb2d-4ede-a508-ce077526051b,llm,abbrev,True,valid,keep:valid,valid,,,78
cypherbench:79,cypherbench,nba,2342d395-d41a-49ad-ac01-0a095d805658,kb:simplekg,abbrev,False,unsampled,keep:unsampled,never sampled for human review,,,79
cypherbench:80,cypherbench,nba,3dffa227-502f-42e3-bffb-09947424be00,llm,partial,True,valid,keep:valid,valid,,,80
cypherbench:81,cypherbench,nba,b8e6e457-0c08-4b03-b922-f70dd4c696ee,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,81
cypherbench:82,cypherbench,nba,81fbe95c-c86d-4ea4-a414-53dcc7c0aa81,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,82
cypherbench:83,cypherbench,nba,b497abff-4bba-4f4d-a53b-dd3a35fc93ab,llm,abbrev,True,valid,keep:valid,valid,,,83
cypherbench:84,cypherbench,nba,8b7627b8-30d3-4989-a8d4-cdda65f572f2,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,84
cypherbench:85,cypherbench,nba,fc233aa5-328c-4f5a-a18e-19ee17dd24d6,llm,partial,True,valid,keep:valid,valid,,,85
cypherbench:86,cypherbench,nba,c960408d-76ca-492c-88d0-ea4088ea4e7b,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,86
cypherbench:87,cypherbench,nba,0e2bba75-f73f-4cee-956a-687dd1142f2d,llm,abbrev,True,valid,keep:valid,valid,,,87
cypherbench:88,cypherbench,nba,da96ea74-2f63-4d96-babe-ea303c02dae8,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,88
cypherbench:89,cypherbench,nba,b99c2c82-5424-4fb2-95c9-b7dcbb87b8ab,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,89
cypherbench:90,cypherbench,nba,0ca8e2d8-6c25-4108-a5aa-d5c2a83d711d,attested,alias,True,valid,keep:valid,valid,,,90
cypherbench:91,cypherbench,nba,a0e95770-7dad-49a3-ba30-8be6b9e09c4c,llm,abbrev,True,valid,keep:valid,valid,,,91
cypherbench:92,cypherbench,nba,4cbfd81b-f7d7-42df-b67a-9b3fc942c36f,llm,abbrev,True,valid,keep:valid,valid,,,92
cypherbench:93,cypherbench,nba,6ca84420-ea44-44aa-b31f-d373bf45f0ae,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,93
cypherbench:94,cypherbench,nba,3580a4db-292d-4dbe-906e-e00dfbaf0fb6,algorithmic,partial,True,valid,keep:valid,valid,,,94
cypherbench:95,cypherbench,nba,5257c6c3-779f-4b96-90d8-aaf6083d9e27,algorithmic,typo,False,unsampled,keep:unsampled,never sampled for human review,,,95
cypherbench:96,cypherbench,nba,4ff544f2-5ff0-47fa-8ff3-818c73cd83e8,llm,partial,True,valid,keep:valid,valid,,,96
cypherbench:97,cypherbench,nba,4bdecfd4-4b6c-4c70-a077-026ecb1989c3,algorithmic,typo,False,unsampled,keep:unsampled,never sampled for human review,,,97
cypherbench:98,cypherbench,nba,110334f1-21c2-4784-b215-120b6383ac4e,llm,abbrev,True,valid,keep:valid,valid,,,98
cypherbench:99,cypherbench,nba,6a803862-a32e-458d-b368-833fc7973c91,attested,alias,True,valid,keep:valid,valid,,,99
cypherbench:100,cypherbench,nba,737d13a2-ac2b-49ff-b517-2f83d1745cc3,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,100
cypherbench:101,cypherbench,nba,e15b64e4-7dd9-4b3c-ae55-b3ab0ad5f861,llm,alias,True,valid,keep:valid,valid,,,101
cypherbench:102,cypherbench,nba,2583a5a3-b4e9-4334-a4e0-c75aa804a875,llm,abbrev,True,valid,keep:valid,valid,,,102
cypherbench:103,cypherbench,nba,cda3e6ed-7ca2-43ac-80c8-e851b7116153,llm,abbrev,True,valid,keep:valid,valid,,,103
cypherbench:104,cypherbench,nba,2e548453-7ec9-452d-aaf6-66847b9d242f,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,104
cypherbench:105,cypherbench,nba,34f89205-bc56-4d35-942d-478b0ab73d1b,llm,alias,True,valid,keep:valid,valid,,,105
cypherbench:106,cypherbench,nba,b0285463-0a21-4600-afc4-2d72c94e0efe,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,106
cypherbench:107,cypherbench,nba,6f6470c7-185b-4331-a6e7-adc86dfbc523,llm,partial,True,valid,keep:valid,valid,,,107
cypherbench:108,cypherbench,nba,77fe76ea-bccd-461e-82f8-40effb448738,attested,alias,True,valid,keep:valid,valid,,,108
cypherbench:109,cypherbench,nba,cb5e298f-9275-42a8-a0a1-c3abeee8dc96,llm,abbrev,True,valid,keep:valid,valid,,,109
cypherbench:110,cypherbench,nba,50c09ddc-f73d-4f75-b73b-7c9afa53ff5e,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,110
cypherbench:111,cypherbench,nba,e3518c25-3bb1-41d3-b3f2-e1677096ee67,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,111
cypherbench:112,cypherbench,nba,38066bd3-418d-4368-9d54-46461091f57a,llm,abbrev,True,valid,keep:valid,valid,,,112
cypherbench:113,cypherbench,nba,032f1ce7-3acb-4de9-b37d-290c512a5c2f,attested,alias,True,valid,keep:valid,valid,,,113
cypherbench:114,cypherbench,nba,ffee6402-a29f-498d-85d8-8c8669f2afa5,llm,partial,True,valid,keep:valid,valid,,,114
cypherbench:115,cypherbench,nba,d837eba0-6d59-40a7-8f33-6e6facccea23,kb:simplekg,abbrev,False,unsampled,keep:unsampled,never sampled for human review,,,115
cypherbench:116,cypherbench,nba,ddf26fab-79e3-43e7-80ba-7e9c62217385,llm,alias,True,valid,keep:valid,valid,,,116
cypherbench:117,cypherbench,nba,092279f0-c321-4d43-86c3-61eb970139a9,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,117
cypherbench:118,cypherbench,nba,5ce28bbd-d6c8-49e6-9d79-ddc07e77fa6c,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,118
cypherbench:119,cypherbench,nba,84db92d8-6589-4714-9d29-72a4bfe23469,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,119
cypherbench:120,cypherbench,nba,f9f4c195-929a-4922-a5a0-e804df936190,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,120
cypherbench:121,cypherbench,nba,25f770ce-ef0f-4c72-91cd-353fbaf1007d,llm,abbrev,True,valid,keep:valid,valid,,,121
cypherbench:122,cypherbench,nba,9973aa44-a59a-4f3c-a664-eebe7794893e,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,122
cypherbench:123,cypherbench,nba,cc4636c5-3c72-4dd7-8faa-20718aa96cbb,attested,alias,True,valid,keep:valid,valid,,,123
cypherbench:124,cypherbench,nba,d94d0061-7000-4478-b913-15d833f73958,algorithmic,typo,False,unsampled,keep:unsampled,never sampled for human review,,,124
cypherbench:125,cypherbench,nba,f58f6ea7-8297-45df-aae2-d3591e411e37,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,125
cypherbench:126,cypherbench,nba,b297f41f-f097-46fb-9971-1390033e183e,algorithmic,typo,True,valid,keep:valid,valid,,,126
cypherbench:127,cypherbench,nba,3b35e5ef-144d-4554-bbc4-ffee3a4bad1b,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,127
cypherbench:128,cypherbench,nba,50d44b7a-64e6-49f6-8ba2-602c29e3ef9e,llm,abbrev,True,valid,keep:valid,valid,,,128
cypherbench:129,cypherbench,nba,fe1bf035-136a-430d-b98c-3c5d5dfdb37d,llm,abbrev,True,valid,keep:valid,valid,,,129
cypherbench:130,cypherbench,nba,76db58f6-8e70-42d7-9ab3-29660ba8b9ae,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,130
cypherbench:131,cypherbench,nba,44e56e56-e9d2-4efb-87fa-1b9673e881e8,algorithmic,casing,True,valid,keep:valid,valid,,,131
cypherbench:132,cypherbench,nba,18201426-24e8-4c45-9b6f-8b12b7c4f5a3,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,132
cypherbench:133,cypherbench,nba,3043b730-ff1a-4ecc-9970-aed55ba7512e,algorithmic,partial,True,valid,keep:valid,valid,,,133
cypherbench:134,cypherbench,nba,60f51daa-d6f7-4f29-a101-87cd09850353,llm,abbrev,True,valid,keep:valid,valid,,,134
cypherbench:135,cypherbench,nba,d8947542-8e7d-4a1f-9513-b8576feccd26,attested,alias,True,valid,keep:valid,valid,,,135
cypherbench:136,cypherbench,nba,eac8346f-ae9c-467a-a714-75484a454074,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,136
cypherbench:137,cypherbench,nba,a45276ae-ac0b-43f9-a182-912eff75f6b1,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,137
cypherbench:138,cypherbench,nba,69867d8c-6c35-4c3e-a1ae-d62bcde56b7a,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,138
cypherbench:139,cypherbench,nba,e7d7ac09-21e7-4da8-b389-2d42d404bbf9,llm,abbrev,True,valid,keep:valid,valid,,,139
cypherbench:140,cypherbench,nba,359697f9-878a-444a-b952-c43edfef5641,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,140
cypherbench:141,cypherbench,nba,7ee9045b-2a28-48dd-82dd-9256673e3135,kb:curated,alias,False,unsampled,keep:unsampled,never sampled for human review,,,141
cypherbench:142,cypherbench,nba,c21c5900-7028-4de2-a792-1459cf645449,algorithmic,typo,False,unsampled,keep:unsampled,never sampled for human review,,,142
cypherbench:143,cypherbench,nba,34c88f84-1297-48aa-8f12-2a14ee597e19,llm,abbrev,True,valid,keep:valid,valid,,,143
cypherbench:144,cypherbench,nba,29bb366e-8b46-48bf-a5b6-c9125bc7b64a,kb:simplekg,abbrev,False,unsampled,keep:unsampled,never sampled for human review,,,144
cypherbench:145,cypherbench,nba,adc5d3af-fd77-4a53-af32-452d9c51f015,attested,alias,True,valid,keep:valid,valid,,,145
cypherbench:146,cypherbench,nba,4e2dd668-77c3-4ad2-a5ad-7520194e8809,llm,abbrev,True,valid,keep:valid,valid,,,146
cypherbench:147,cypherbench,nba,6a0e3125-a01a-4106-8bf8-5dedf4dad1a8,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,147
cypherbench:148,cypherbench,nba,a9e50885-4a72-4f47-b146-c38f8f41e266,attested,alias,True,valid,keep:valid,valid,,,148
cypherbench:149,cypherbench,nba,5be4f84c-fd63-4782-90bc-4c23634ffdef,llm,abbrev,True,valid,keep:valid,valid,,,149
cypherbench:150,cypherbench,nba,1f38fc20-60f8-4f77-8555-50ba18a84f05,llm,abbrev,True,valid,keep:valid,valid,,,150
cypherbench:151,cypherbench,nba,a550e214-eb55-452c-8416-75f3e9044d79,algorithmic,partial,True,valid,keep:valid,valid,,,151
cypherbench:152,cypherbench,nba,87016d06-6db8-47c8-be60-994f58d67561,llm,alias,True,valid,keep:valid,valid,,,152
cypherbench:153,cypherbench,nba,930cb5de-91ac-4934-8b0d-dfd69fb7c5b9,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,153
cypherbench:154,cypherbench,nba,9bfc2e59-1348-4667-90fc-779016840ec5,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,154
cypherbench:155,cypherbench,nba,56e62758-4355-47e3-ab35-27f316d2a681,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,155
cypherbench:156,cypherbench,nba,3d3b116c-6da1-4cce-9080-e08f1c4ba87a,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,156
cypherbench:157,cypherbench,nba,1b62d569-60ef-422a-8d44-58d9fbd9b7be,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,157
cypherbench:158,cypherbench,nba,99d50929-5675-4f6c-919c-f80f5241a955,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,158
cypherbench:159,cypherbench,nba,6544cdcb-6324-4881-8e6b-0c1c07736b99,llm,abbrev,True,valid,keep:valid,valid,,,159
cypherbench:160,cypherbench,nba,470cd22d-40b3-4459-9649-1ca3d6c47c13,llm,abbrev,True,valid,keep:valid,valid,,,160
cypherbench:161,cypherbench,nba,57681808-232d-49c0-8d3f-452d7171c945,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,161
cypherbench:162,cypherbench,nba,cfcf8b07-15eb-4617-9096-23bbfb3b8d62,algorithmic,casing,True,valid,keep:valid,valid,,,162
cypherbench:163,cypherbench,nba,16725cad-e28c-4b23-8d61-c5c86740b740,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,163
cypherbench:164,cypherbench,nba,673e5888-d9d9-4f05-b843-e8722712bd48,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,164
cypherbench:165,cypherbench,nba,03f17d98-a4a9-4287-9f4c-217a37ba6b9e,attested,alias,True,valid,keep:valid,valid,,,165
cypherbench:166,cypherbench,nba,b3ed9c15-8d20-401b-ab16-795eff573a2e,attested,alias,True,valid,keep:valid,valid,,,166
cypherbench:167,cypherbench,nba,9949be94-04e8-4e5f-97a3-6b0337882684,attested,abbrev,True,valid,keep:valid,valid,,,167
cypherbench:168,cypherbench,nba,df1a1489-cdae-457e-9d7c-accb98d9507c,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,168
cypherbench:169,cypherbench,nba,6cfe27cd-d135-4369-879c-c22ca9a29755,llm,partial,True,valid,keep:valid,valid,,,169
cypherbench:170,cypherbench,nba,d79d2251-db04-4a52-8de9-6752d8262ce2,algorithmic,casing,True,valid,keep:valid,valid,,,170
cypherbench:171,cypherbench,nba,6da9e493-aa84-4bf9-a7ca-3f2d6bb32379,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,171
cypherbench:172,cypherbench,nba,c1985c8d-170e-414f-a2d9-58cd52ff5aca,llm,abbrev,True,valid,keep:valid,valid,,,172
cypherbench:173,cypherbench,nba,99689270-dae4-4a80-9991-b8a2b7248c5d,llm,alias,True,valid,keep:valid,valid,,,173
cypherbench:174,cypherbench,nba,9a3be261-90d1-405a-adcc-d5b833ee5032,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,174
cypherbench:175,cypherbench,nba,08bbf296-e39e-42d9-a650-53a8c33144ee,attested,alias,True,valid,keep:valid,valid,,,175
cypherbench:176,cypherbench,nba,d775cbb0-4f5f-4217-b2f3-b8b0ae778a04,llm,abbrev,True,valid,keep:valid,valid,,,176
cypherbench:177,cypherbench,nba,3b950840-1d21-4843-a82a-5a4102405a0c,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,177
cypherbench:178,cypherbench,nba,362e614b-168a-478c-98db-a0fafce1b1e0,algorithmic,casing,False,unsampled,keep:unsampled,never sampled for human review,,,178
cypherbench:179,cypherbench,nba,7def5609-998a-4326-b7a4-f1dba4a57e30,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,179
cypherbench:180,cypherbench,nba,f9e315dc-8671-44a0-8c52-414533604dcb,llm,abbrev,True,valid,keep:valid,valid,,,180
cypherbench:181,cypherbench,nba,7bd31ea5-9bdd-4733-af1a-29a164a5387a,algorithmic,partial,False,unsampled,keep:unsampled,never sampled for human review,,,181
cypherbench:182,cypherbench,nba,f29c01d9-fb9f-4384-b5fa-77a0538d9943,llm,abbrev,True,valid,keep:valid,valid,,,182
cypherbench:183,cypherbench,nba,a6530611-68f5-41b4-947e-df9599ef0401,kb:simplekg,alias,False,unsampled,keep:unsampled,never sampled for human review,,,183
