id,annotator,validity,naturalness,source_error,corrected_form,notes,calibration_item
cypherbench:107,C,valid,natural,no,Pacific Division,,no
cypherbench:1071,A,valid,natural,no,,,no
cypherbench:1071,E,valid,natural,no,,,no
cypherbench:1072,B,valid,natural,no,,,no
cypherbench:1072,D,valid,natural,no,,,no
cypherbench:108,C,valid,natural,no,Derek Lamar Fisher,Derek Lamar Fisher is the full name of Derek Fisher.,no
cypherbench:108,D,valid,natural,no,,,no
cypherbench:1081,A,valid,natural,no,,,no
cypherbench:1081,E,valid,natural,no,,,no
cypherbench:1082,B,valid,natural,no,,,no
cypherbench:1082,E,valid,unnatural,no,,,no
cypherbench:1084,A,valid,natural,no,,,no
cypherbench:1084,C,valid,awkward,no,Indian Ocean,"While 'Indian Sea' is a known historical/informal alias or translation, 'Indian Ocean' is standard.",no
cypherbench:1085,B,valid,natural,no,,,no
cypherbench:1085,C,valid,natural,no,,Saltoro Range is a common and standard alias for the Saltoro Mountains.,no
cypherbench:1087,B,valid,natural,no,,,no
cypherbench:1087,E,valid,natural,no,,,no
cypherbench:1088,B,valid,natural,no,,,no
cypherbench:1088,C,valid,natural,no,,,no
cypherbench:1089,B,valid,natural,no,,,no
cypherbench:1089,C,valid,natural,no,Yuan River,Yuanjiang is a direct pinyin transliteration / valid alternate name for the Yuan River (Yuan Jiang).,no
cypherbench:109,A,valid,natural,no,,,no
cypherbench:109,D,valid,natural,no,,,no
cypherbench:1097,D,valid,natural,no,,,no
cypherbench:1097,E,valid,natural,no,,,no
cypherbench:1098,A,valid,natural,no,,,no
cypherbench:1098,B,valid,natural,no,,,no
cypherbench:11,B,valid,natural,no,,,no
cypherbench:11,C,valid,natural,no,,Full name alias for Howard Eisley.,no
cypherbench:1102,A,valid,natural,no,,,no
cypherbench:1102,B,valid,natural,no,,,no
cypherbench:1107,A,valid,natural,no,,,no
cypherbench:1107,C,valid,natural,no,Guamués River,"Diacritic stripped from Guamués River, which is very common and natural in English.",no
cypherbench:1109,B,valid,natural,no,,,no
cypherbench:1109,E,valid,natural,no,,,no
cypherbench:1111,B,valid,natural,no,,,no
cypherbench:1111,D,valid,natural,no,,,no
cypherbench:1113,B,valid,natural,no,,,no
cypherbench:1113,C,valid,natural,no,Kazakhstan,KAZ is the standard 3-letter ISO/IOC code for Kazakhstan.,no
cypherbench:1114,B,valid,natural,no,,,no
cypherbench:1114,C,valid,awkward,no,Cameroon,"CAM is a recognized abbreviation/country code for Cameroon, though slightly awkward when used directly in natural prose.",no
cypherbench:1119,A,valid,natural,no,,,no
cypherbench:1119,B,valid,natural,no,,,no
cypherbench:112,B,valid,natural,no,,,no
cypherbench:112,D,valid,natural,no,,,no
cypherbench:1120,B,valid,natural,no,,,yes
cypherbench:1120,D,valid,natural,no,,,yes
cypherbench:1121,A,valid,natural,no,,,no
cypherbench:1121,E,valid,natural,no,,,no
cypherbench:1126,A,valid,natural,no,,,no
cypherbench:1126,D,valid,natural,no,,,no
cypherbench:1128,C,valid,natural,no,,,no
cypherbench:1128,D,valid,natural,no,,,no
cypherbench:1129,C,valid,natural,no,Lake Sartlan,"""Ozero Sartlan"" is the transliterated Russian name for Lake Sartlan.",no
cypherbench:1129,E,valid,natural,no,,,no
cypherbench:113,C,valid,natural,no,,,no
cypherbench:113,D,valid,natural,no,,,no
cypherbench:1136,D,valid,natural,no,,,no
cypherbench:1136,E,valid,natural,no,,,no
cypherbench:1138,B,valid,natural,no,,,no
cypherbench:1138,E,valid,unnatural,no,,,no
cypherbench:114,C,valid,natural,no,Central Division,Shortening 'Central Division' to 'the Central' is a common colloquialism in sports contexts.,no
cypherbench:114,D,valid,natural,no,,,no
cypherbench:1145,A,valid,natural,no,,,no
cypherbench:1145,D,valid,natural,no,,,no
cypherbench:1147,A,valid,natural,no,,,no
cypherbench:1147,D,valid,natural,no,,,no
cypherbench:1149,A,valid,natural,no,,,no
cypherbench:1149,C,valid,natural,no,,,no
cypherbench:1150,A,invalid,natural,no,,,no
cypherbench:1150,C,invalid,unnatural,no,Iguazu River,'Recorrido' is a Spanish common noun meaning 'route' or 'course' and is not a valid name or alias for the Iguazu River.,no
cypherbench:1152,B,valid,natural,no,,,no
cypherbench:1152,E,valid,natural,no,,,no
cypherbench:1153,A,valid,natural,no,,,no
cypherbench:1153,E,valid,natural,no,,,no
cypherbench:1155,C,valid,natural,no,S. America,Standard abbreviation for South America.,no
cypherbench:1155,E,valid,natural,no,,,no
cypherbench:1158,B,valid,natural,no,,,no
cypherbench:1158,C,valid,awkward,no,Cameroon,"CAM is a recognized 3-letter country code / abbreviation for Cameroon (often used in sports / IOC / ISO-like contexts), though somewhat awkward in natural English phrasing.",no
cypherbench:116,B,valid,natural,no,,,no
cypherbench:116,D,valid,natural,no,,,no
cypherbench:1161,D,valid,natural,no,,,no
cypherbench:1161,E,valid,natural,no,,,no
cypherbench:1168,A,valid,natural,no,,,no
cypherbench:1168,E,valid,natural,no,,,no
cypherbench:1171,C,valid,natural,no,Andes,Typo / character transposition from Andes to Aneds.,no
cypherbench:1173,A,valid,natural,no,,,no
cypherbench:1173,B,valid,natural,no,,,no
cypherbench:1174,D,valid,natural,no,,,no
cypherbench:1174,E,valid,natural,no,,,no
cypherbench:1175,C,valid,natural,no,Pacific Ocean,,no
cypherbench:1175,D,valid,natural,no,,,no
cypherbench:1177,D,valid,natural,no,,,no
cypherbench:1177,E,valid,natural,no,,,no
cypherbench:1180,A,valid,natural,no,,,no
cypherbench:1180,B,valid,natural,no,,,no
cypherbench:1181,A,valid,natural,no,,,no
cypherbench:1181,C,valid,natural,no,Jichu Drake,Jichu Drake is an established alternate spelling of Mount Jitchu Drake.,no
cypherbench:1182,D,valid,natural,no,,,no
cypherbench:1182,E,valid,natural,no,,,no
cypherbench:1183,A,valid,natural,no,,,no
cypherbench:1183,D,valid,natural,no,,,no
cypherbench:1185,A,valid,natural,no,,,no
cypherbench:1185,B,valid,natural,no,,,no
cypherbench:1187,E,valid,natural,no,,,no
cypherbench:1191,C,valid,natural,no,Tobol basin,,no
cypherbench:1191,E,valid,natural,no,,,no
cypherbench:1192,B,valid,natural,no,,,no
cypherbench:1193,B,valid,natural,no,,,no
cypherbench:1193,C,valid,awkward,no,Spain,"ES is the ISO 3166-1 alpha-2 country code for Spain, but using it in full-sentence prose sounds awkward.",no
cypherbench:1205,A,valid,natural,no,,,no
cypherbench:1205,D,valid,natural,no,,,no
cypherbench:1209,A,valid,natural,no,,,no
cypherbench:1209,B,valid,natural,no,,,no
cypherbench:121,B,valid,natural,no,,,no
cypherbench:121,E,valid,natural,no,,,no
cypherbench:1210,C,valid,natural,no,,Namjagbarwa is a valid and widely used alternative transliteration/Pinyin spelling for Namcha Barwa.,no
cypherbench:1210,D,valid,natural,no,,,no
cypherbench:1211,B,valid,natural,no,,,no
cypherbench:1211,E,valid,natural,no,,,no
cypherbench:1212,A,valid,natural,no,,,no
cypherbench:1215,A,valid,natural,no,,,no
cypherbench:1215,B,valid,natural,no,,,no
cypherbench:1217,B,valid,natural,no,,,no
cypherbench:1217,D,valid,natural,no,,,no
cypherbench:1220,A,valid,natural,no,,,no
cypherbench:1220,C,valid,awkward,no,Turkey,TUR is the ISO 3166-1 alpha-3 country code for Turkey.,no
cypherbench:1221,A,valid,natural,no,,,no
cypherbench:1221,B,valid,natural,no,,,no
cypherbench:1227,C,valid,awkward,no,Israel,"IL is the ISO 3166-1 alpha-2 code for Israel, but using two-letter country codes in natural English prose alongside full country names like Tunisia is awkward.",no
cypherbench:1227,E,valid,awkward,no,,,no
cypherbench:123,B,valid,natural,no,,,no
cypherbench:123,D,valid,natural,no,,,no
cypherbench:1232,D,valid,natural,no,,,no
cypherbench:1232,E,valid,awkward,no,,,no
cypherbench:1234,C,valid,natural,no,,Alternative transliteration/alias of Khyargas Nuur.,no
cypherbench:1234,E,valid,natural,no,,,no
cypherbench:1246,B,valid,natural,no,,,no
cypherbench:1246,D,valid,natural,no,,,no
cypherbench:1247,B,valid,natural,no,,,no
cypherbench:1247,C,valid,awkward,no,Italy,"ITA is the standard 3-letter ISO code for Italy, though using it in natural prose is somewhat stilted.",no
cypherbench:1253,C,valid,natural,no,Loinbo Kangri,Loinbo Kangri is a standard alternative romanization and alias of Lunpo Gangri.,no
cypherbench:1253,D,valid,natural,no,,,no
cypherbench:1256,C,valid,natural,no,Mount Gya,,no
cypherbench:1256,D,valid,natural,no,,,no
cypherbench:1259,C,valid,natural,no,Ob Basin,,no
cypherbench:126,B,valid,natural,no,,,no
cypherbench:1261,D,valid,natural,no,,,no
cypherbench:1262,B,valid,natural,no,,,no
cypherbench:1262,E,valid,natural,no,,,no
cypherbench:1263,C,valid,natural,no,,,no
cypherbench:1264,A,valid,natural,no,,,no
cypherbench:1264,C,valid,natural,no,Pacific Ocean,"""Pacifick Sea"" is an archaic alias/spelling for the Pacific Ocean.",no
cypherbench:1265,A,valid,natural,no,,,no
cypherbench:1265,B,valid,natural,no,,,no
cypherbench:1268,B,valid,natural,no,,,no
cypherbench:1268,C,invalid,natural,no,Loenpo Gang,"Loinbo Kangri (Lunpo Gangri, 7095m) is a distinct mountain in the Gangdise range, separate from Loenpo Gang (6979m) in the Langtang Himal.",no
cypherbench:1269,C,valid,natural,no,,Huang He is the standard romanized Chinese name/alias for the Yellow River.,no
cypherbench:1269,E,valid,natural,no,,,no
cypherbench:1275,B,valid,natural,no,,,no
cypherbench:1275,E,valid,natural,no,,,no
cypherbench:1276,C,valid,natural,no,,Namucuo is the pinyin romanization of Namtso (纳木错).,no
cypherbench:1276,E,valid,natural,no,,,no
cypherbench:1279,B,valid,natural,no,,,no
cypherbench:1279,E,valid,unnatural,no,,,no
cypherbench:128,B,valid,natural,no,,,no
cypherbench:128,E,valid,natural,no,,,no
cypherbench:1286,A,valid,natural,no,,,no
cypherbench:1286,B,valid,natural,no,,,no
cypherbench:1289,B,valid,natural,no,,,no
cypherbench:1289,D,valid,natural,no,,,no
cypherbench:129,C,valid,natural,no,SF,,no
cypherbench:129,E,valid,natural,no,,,no
cypherbench:1290,B,valid,natural,no,,,no
cypherbench:1290,E,valid,natural,no,,,no
cypherbench:1293,A,valid,natural,no,,,no
cypherbench:1293,E,valid,natural,no,,,no
cypherbench:1295,C,valid,natural,no,Chipiriri River,,no
cypherbench:1295,D,valid,natural,no,,,no
cypherbench:1298,D,valid,natural,no,,,no
cypherbench:1298,E,valid,natural,no,,,no
cypherbench:13,B,valid,natural,no,,,no
cypherbench:13,D,valid,natural,no,,,no
cypherbench:1303,A,valid,natural,no,,,no
cypherbench:1303,C,valid,natural,no,,'Juan Shui' is a standard pinyin/Chinese alternate name for the Juan River (涓水).,no
cypherbench:1304,C,valid,awkward,no,the Argentine Republic,Argentine Republic is the official name of Argentina; it usually takes the definite article 'the'.,no
cypherbench:1304,D,valid,natural,no,,,no
cypherbench:1307,D,valid,natural,no,,,no
cypherbench:1309,C,valid,natural,no,Kharchakund,,no
cypherbench:1309,D,valid,natural,no,,,no
cypherbench:131,A,valid,natural,no,,,no
cypherbench:131,B,valid,natural,no,,,no
cypherbench:1312,B,valid,natural,no,,,no
cypherbench:1312,C,valid,natural,no,Gorky Sea,Gorky Sea is a well-known common alias for the Gorky Reservoir.,no
cypherbench:1313,C,valid,natural,no,,,no
cypherbench:1313,D,valid,natural,no,,,no
cypherbench:1314,A,valid,natural,no,,,no
cypherbench:1314,B,valid,natural,no,,,no
cypherbench:1316,A,valid,natural,no,,,no
cypherbench:1316,E,valid,natural,no,,,no
cypherbench:1318,A,valid,natural,no,,,no
cypherbench:1318,C,valid,natural,no,Rio Unini,Portuguese name/alias for the Unini River located in Brazil.,no
cypherbench:1322,B,valid,natural,no,,,no
cypherbench:1322,C,valid,natural,no,Baltoro Muztagh,Baltoro Karakoram is an acceptable alias/variant referring to the Baltoro Muztagh/Karakoram subrange.,no
cypherbench:1323,A,valid,natural,no,,,no
cypherbench:1323,C,valid,awkward,no,Brazil,"BR is the standard two-letter country code for Brazil, though using it directly in prose sounds slightly awkward.",no
cypherbench:1326,C,valid,natural,no,,,no
cypherbench:1326,D,valid,natural,no,,,no
cypherbench:1327,B,valid,natural,no,,,no
cypherbench:1327,C,valid,awkward,no,Nepal,"NP is the standard two-letter ISO country code for Nepal, though using it in natural prose is awkward.",no
cypherbench:1328,B,valid,natural,no,,,no
cypherbench:1328,C,valid,natural,no,,Wade-Giles romanization of Dongting Lake.,no
cypherbench:133,C,valid,natural,no,Elfrid Payton,"Shortened to first name, which is distinctive enough in the context of professional sports.",no
cypherbench:133,D,valid,natural,no,,,no
cypherbench:1331,B,valid,natural,no,,,no
cypherbench:1331,C,valid,awkward,no,Lancang River,Lancang is the name of the Mekong River in China; using French 'Rivière' in an otherwise English sentence makes it slightly awkward.,no
cypherbench:1334,C,valid,natural,no,,,no
cypherbench:1334,E,valid,natural,no,,,no
cypherbench:1336,C,valid,natural,no,Himalayas,"""Himalaya"" is a common singular alias/variant for the mountain range.",no
cypherbench:1336,E,valid,natural,no,,,no
cypherbench:1337,B,valid,natural,no,,,no
cypherbench:1337,E,valid,natural,no,,,no
cypherbench:1338,A,valid,natural,no,,,no
cypherbench:1338,C,valid,natural,no,the Atlantic,Archaic spelling/typo of 'Atlantic Ocean' clearly identifiable in context.,no
cypherbench:134,B,valid,natural,no,,,no
cypherbench:134,E,valid,natural,no,,,no
cypherbench:1345,C,valid,natural,no,,Xiangjiang is the standard pinyin romanization and alias for the Xiang River.,no
cypherbench:1345,E,valid,natural,no,,,no
cypherbench:1347,A,valid,natural,no,,,no
cypherbench:1347,C,valid,natural,no,,Ozero Sartlan is the transliteration of the Russian name for Lake Sartlan (Озеро Сартлан).,no
cypherbench:135,A,valid,natural,no,,,no
cypherbench:135,D,valid,natural,no,,,no
cypherbench:1352,A,valid,natural,no,,,no
cypherbench:1352,B,valid,natural,no,,,no
cypherbench:1358,B,valid,natural,no,,,no
cypherbench:1358,D,valid,natural,no,,,no
cypherbench:1362,C,valid,natural,no,Lena basin,,no
cypherbench:1362,E,valid,natural,no,,,no
cypherbench:1363,B,valid,natural,no,,,yes
cypherbench:1363,C,valid,natural,no,,,yes
cypherbench:1368,A,valid,natural,no,,,no
cypherbench:1368,B,valid,natural,no,,,no
cypherbench:1371,A,valid,natural,no,,,no
cypherbench:1371,E,valid,awkward,no,,,no
cypherbench:1373,B,valid,natural,no,,,no
cypherbench:1373,E,valid,natural,no,,,no
cypherbench:1374,B,valid,natural,no,,,no
cypherbench:1374,E,valid,natural,no,,,no
cypherbench:1375,A,valid,natural,no,,,no
cypherbench:1375,D,valid,natural,no,,,no
cypherbench:1377,B,valid,natural,no,,,no
cypherbench:1377,C,valid,awkward,no,Jordan,"JO is the ISO 3166-1 alpha-2 country code for Jordan, though using two-letter country codes in prose is slightly awkward.",no
cypherbench:1378,B,valid,natural,no,,,no
cypherbench:1378,D,valid,natural,no,,,no
cypherbench:1379,A,valid,natural,no,,,no
cypherbench:1379,D,valid,natural,no,,,no
cypherbench:1383,D,valid,natural,no,,,no
cypherbench:1383,E,valid,natural,no,,,no
cypherbench:1384,A,valid,natural,no,,,no
cypherbench:1384,B,valid,natural,no,,,no
cypherbench:1389,D,valid,natural,no,,,no
cypherbench:1389,E,valid,natural,no,,,no
cypherbench:139,A,valid,natural,no,,,no
cypherbench:139,C,valid,awkward,no,Brooklyn Nets,"BKN is the official standard 3-letter abbreviation for the Brooklyn Nets, though phrasing it as 'the BKN' is slightly awkward.",no
cypherbench:1393,A,valid,natural,no,,,no
cypherbench:1393,E,valid,natural,no,,,no
cypherbench:1394,B,valid,natural,no,,,no
cypherbench:1394,C,valid,natural,no,The Blind Side,,no
cypherbench:1395,C,valid,awkward,no,Ireland,"IE is the standard two-letter country code for Ireland, though using 'the IE' in running text is somewhat awkward.",no
cypherbench:1395,D,valid,natural,no,,,no
cypherbench:1397,B,valid,natural,no,,,no
cypherbench:1397,D,valid,natural,no,,,no
cypherbench:1398,C,valid,natural,no,Creed III,Lowercasing is a natural and valid variation.,no
cypherbench:1398,E,valid,natural,no,,,no
cypherbench:14,B,valid,natural,no,,,no
cypherbench:14,D,valid,natural,no,,,no
cypherbench:1402,A,valid,natural,no,,,no
cypherbench:1402,C,valid,natural,no,The Lord of the Rings: The Two Towers,"Shortened to 'The Two Towers', which is universally understood and natural.",no
cypherbench:1403,E,valid,natural,no,,,no
cypherbench:1405,B,valid,natural,no,,,no
cypherbench:1405,C,valid,natural,no,road movie,"""road film"" is a widely used synonymous term for ""road movie"".",no
cypherbench:1408,B,valid,natural,no,,,no
cypherbench:1408,E,valid,natural,no,,,no
cypherbench:1410,B,valid,natural,no,,,no
cypherbench:1410,C,valid,natural,no,,,no
cypherbench:1413,A,valid,natural,no,,,no
cypherbench:1413,B,valid,natural,no,,,no
cypherbench:1414,A,valid,natural,no,,,no
cypherbench:1416,D,valid,natural,no,,,no
cypherbench:1416,E,valid,natural,no,,,no
cypherbench:1420,B,valid,natural,no,,,no
cypherbench:1420,E,valid,natural,no,,,no
cypherbench:1422,B,valid,natural,no,,,no
cypherbench:1422,E,valid,natural,no,,,no
cypherbench:1423,C,valid,natural,no,Imagine Entertainment,"""Imagine"" is a standard shortened name for Imagine Entertainment in film contexts.",no
cypherbench:1423,E,valid,natural,no,,,no
cypherbench:1425,A,valid,natural,no,,,no
cypherbench:1425,D,valid,natural,no,,,no
cypherbench:1429,D,valid,natural,no,,,no
cypherbench:1429,E,valid,natural,no,,,no
cypherbench:143,C,valid,awkward,no,Brooklyn Nets,"BKN is the standard 3-letter abbreviation for the Brooklyn Nets, though using 'the BKN' is slightly awkward in phrasing.",no
cypherbench:143,E,valid,natural,no,,,no
cypherbench:1433,B,valid,natural,no,,,no
cypherbench:1433,D,valid,natural,no,,,no
cypherbench:1434,B,valid,natural,no,,,no
cypherbench:1434,C,valid,natural,no,JP,,no
cypherbench:1437,B,valid,natural,no,,,no
cypherbench:1437,C,valid,natural,no,MIB 3,,no
cypherbench:1439,D,valid,natural,no,,,no
cypherbench:1439,E,valid,natural,no,,,no
cypherbench:1441,B,valid,natural,no,,,no
cypherbench:1441,D,valid,natural,no,,,no
cypherbench:1443,A,valid,natural,no,,,no
cypherbench:1443,E,valid,natural,no,,,no
cypherbench:1445,A,valid,natural,no,,,no
cypherbench:1445,C,valid,natural,no,,'Bond 22' is a well-known production alias and informal reference to 'Quantum of Solace'.,no
cypherbench:1447,B,valid,natural,no,,,no
cypherbench:1447,D,valid,natural,no,,,no
cypherbench:145,A,valid,natural,no,,,no
cypherbench:145,B,valid,natural,no,,,no
cypherbench:1453,E,valid,natural,no,,,no
cypherbench:1455,C,valid,natural,no,Bashtata,Bashtata (Бащата) is the original Bulgarian title of the 2019 film The Father.,no
cypherbench:1455,D,valid,natural,no,,,no
cypherbench:1457,A,valid,natural,no,,,no
cypherbench:1457,B,valid,natural,no,,,no
cypherbench:146,B,valid,natural,no,,,no
cypherbench:146,C,valid,awkward,no,Memphis Grizzlies,"MEM is a standard NBA abbreviation for the Memphis Grizzlies, though 'the MEM' reads somewhat awkwardly.",no
cypherbench:1463,A,valid,natural,no,,,no
cypherbench:1463,E,valid,natural,no,,,no
cypherbench:1465,C,valid,natural,no,Serbia,RS is the standard two-letter country code (ISO 3166-1 alpha-2) for Serbia.,no
cypherbench:1465,E,valid,natural,no,,,no
cypherbench:1468,A,valid,natural,no,,,no
cypherbench:1468,C,valid,natural,no,sci-fi film,,no
cypherbench:1469,B,valid,natural,no,,,no
cypherbench:1469,D,valid,natural,no,,,no
cypherbench:1475,A,valid,natural,no,,,no
cypherbench:1475,D,valid,natural,no,,,no
cypherbench:1476,C,valid,natural,no,,,no
cypherbench:1476,E,valid,natural,no,,,no
cypherbench:1477,C,valid,natural,no,fantasy films,,no
cypherbench:1477,E,valid,natural,no,,,no
cypherbench:1479,B,valid,natural,no,,,no
cypherbench:1479,C,valid,natural,no,Kong,,no
cypherbench:148,A,valid,natural,no,,,no
cypherbench:148,E,valid,natural,no,,,no
cypherbench:1481,B,valid,natural,no,,,no
cypherbench:1481,E,valid,natural,no,,,no
cypherbench:1486,A,valid,natural,no,,,no
cypherbench:1486,B,valid,natural,no,,,no
cypherbench:149,B,valid,natural,no,,,no
cypherbench:149,E,valid,natural,no,,,no
cypherbench:1494,A,valid,natural,no,,,yes
cypherbench:1494,E,valid,natural,no,,,yes
cypherbench:1496,C,invalid,unnatural,no,Denmark,TAN is not a valid abbreviation for Denmark (it is the code for Tanzania; Denmark is DNK or DK).,no
cypherbench:1496,E,invalid,natural,no,,,no
cypherbench:1498,C,invalid,unnatural,no,Star Wars,"ANH stands for 'A New Hope' (a specific film), not the entire 'Star Wars' series.",no
cypherbench:1498,D,valid,natural,no,,,no
cypherbench:1499,B,valid,natural,no,,,yes
cypherbench:1499,D,valid,natural,no,,,yes
cypherbench:150,D,valid,natural,no,,,no
cypherbench:150,E,valid,natural,no,,,no
cypherbench:1501,B,valid,natural,no,,,no
cypherbench:1501,E,valid,natural,no,,,no
cypherbench:1504,C,valid,natural,no,Columbia Pictures,"CPII stands for Columbia Pictures Industries, Inc.",no
cypherbench:1504,D,valid,natural,no,,,no
cypherbench:1507,A,valid,natural,no,,,no
cypherbench:1507,D,valid,natural,no,,,no
cypherbench:1508,A,valid,natural,no,,,no
cypherbench:1508,C,valid,natural,no,Dead Poets Society,DPS is a recognizable acronym for Dead Poets Society in movie contexts.,no
cypherbench:1509,A,valid,natural,no,,,no
cypherbench:1509,D,valid,natural,no,,,no
cypherbench:151,B,valid,natural,no,,,no
cypherbench:151,D,valid,natural,no,,,no
cypherbench:1511,D,valid,natural,no,,,no
cypherbench:1511,E,valid,natural,no,,,no
cypherbench:1512,D,valid,natural,no,,,no
cypherbench:1512,E,valid,natural,no,,,no
cypherbench:1513,B,valid,natural,no,,,no
cypherbench:1513,D,valid,natural,no,,,no
cypherbench:1518,B,valid,natural,no,,,no
cypherbench:1518,D,valid,natural,no,,,no
cypherbench:152,C,valid,natural,no,,"""the West"" is a standard alias for the Western Conference.",no
cypherbench:152,E,unsure,natural,no,,,no
cypherbench:1523,C,invalid,unnatural,no,DNK,TAN is not an abbreviation or code for Denmark (Tanzania is TAN; Denmark is DNK or DK).,no
cypherbench:1523,E,invalid,natural,no,,,no
cypherbench:1529,C,valid,natural,no,Israel,IL is the ISO 3166-1 alpha-2 code for Israel.,yes
cypherbench:1529,E,valid,natural,no,,,yes
cypherbench:1531,B,valid,natural,no,,,no
cypherbench:1531,C,valid,natural,no,,Weepie is a well-known colloquial synonym/alias for a melodrama film.,no
cypherbench:1536,A,valid,natural,no,,,no
cypherbench:1536,B,valid,natural,no,,,no
cypherbench:1537,C,valid,awkward,no,Norway,"""NO"" is the ISO two-letter country code for Norway.",no
cypherbench:1537,D,valid,natural,no,,,no
cypherbench:1539,A,valid,natural,no,,,no
cypherbench:1539,C,valid,natural,no,Neil Jordan,Neil Patrick Jordan is the full name of the Irish film director Neil Jordan.,no
cypherbench:1542,A,valid,natural,no,,,yes
cypherbench:1542,C,valid,natural,no,TSG Entertainment,TSG is a standard abbreviation/shortening for TSG Entertainment in the context of film production.,yes
cypherbench:1545,B,valid,natural,no,,,no
cypherbench:1545,C,invalid,unnatural,no,Warner Bros. Pictures,"Dropping 'Warner' leaves 'Bros. Pictures', which is an ambiguous and unnatural shortening that does not clearly identify Warner Bros. Pictures.",no
cypherbench:1546,A,valid,natural,no,,,no
cypherbench:1546,E,valid,natural,no,,,no
cypherbench:1548,D,valid,natural,no,,,no
cypherbench:1548,E,valid,natural,no,,,no
cypherbench:1549,A,valid,natural,no,,,no
cypherbench:1549,E,valid,natural,no,,,no
cypherbench:1550,C,valid,natural,no,TASM 2,TASM 2 is a very common and well-understood abbreviation for The Amazing Spider-Man 2.,no
cypherbench:1550,D,valid,natural,no,,,no
cypherbench:1551,C,valid,natural,no,,Zoetrope Studios is a well-known official former name/alias for American Zoetrope.,no
cypherbench:1551,E,valid,natural,no,,,no
cypherbench:1552,A,valid,natural,no,,,no
cypherbench:1552,B,valid,natural,no,,,no
cypherbench:1557,C,valid,natural,no,Academy Award for Best Director,Simple lowercasing perturbation.,no
cypherbench:1559,E,valid,natural,no,,,no
cypherbench:1561,A,valid,natural,no,,,no
cypherbench:1561,D,valid,natural,no,,,no
cypherbench:1566,C,valid,natural,no,Batman v Superman: Dawn of Justice,"""BvS"" is an extremely common, widely recognized abbreviation for the movie ""Batman v Superman: Dawn of Justice"".",no
cypherbench:1566,D,valid,natural,no,,,no
cypherbench:1569,B,valid,natural,no,,,no
cypherbench:1569,E,valid,natural,no,,,no
cypherbench:1571,B,valid,natural,no,,,no
cypherbench:1571,D,valid,natural,no,,,no
